1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,
    Black coal             , 662.9, 717.6, 702.2, 749.7, 776.8, 792.7, 846.5, 887.6, 876.7, 869.6, 914.4, 969.2, 980.9,1 008.1,1 035.6,1 107.3,1 132.1,1 141.3,1 168.2,1 195.6,1 213.3,1 242.8,1 283.1,1 309.0,1 344.8,1 362.4,1 387.5,1 418.6,1 457.1,1 428.0,1 510.2,1 554.4,1 576.4,1 601.9,1 581.2,1 607.5,1 489.0,1 403.6,1 353.2,1 327.8,1 242.8
    Brown coal             , 262.6, 270.8, 286.8, 304.0, 297.4, 312.9, 321.0, 312.0, 357.7, 329.4, 316.5, 369.2, 350.1, 405.0, 424.9, 474.8, 450.7, 484.1, 497.3, 466.8, 474.3, 492.0, 514.4, 559.1, 636.5, 669.1, 672.5, 666.0, 673.4,699.1,714.6,711.7,725.1,721.9,725.1,749.7,742.0,728.2,739.3,645.7,627.7
    Coke                   , 139.8, 149.0, 135.6, 132.9, 130.3, 142.1, 137.2, 116.4, 125.1, 96.9, 95.4, 95.0, 89.5, 86.4, 82.6, 86.3, 114.7, 113.9, 93.4, 91.3, 99.6, 102.8, 102.8, 102.3, 97.8, 106.9, 98.8, 83.9, 81.7,71.2,76.7,73.7,72.6,73.3,74.6,63.8,75.6,79.0,58.8,56.8,55.4
    Coal byproducts        , 103.4, 107.0, 102.4, 96.1, 93.8, 102.5, 91.1, 90.7, 87.8, 70.1, 67.4, 67.1, 68.6, 68.3, 73.1, 78.0, 73.9, 71.5, 75.4, 75.8, 79.8, 82.3, 79.3, 81.3, 82.4, 80.9, 68.8, 67.5, 68.8,72.6,76.0,72.8,75.9,73.8,74.8,48.0,59.3,68.8,57.1,49.9,47.8
    Brown coal briquettes  , 25.5, 24.3, 21.0, 22.6, 22.6, 23.9, 26.9, 24.0, 20.0, 14.9, 16.8, 16.0, 16.6, 17.5, 15.9, 15.2, 15.8, 14.2, 12.3, 11.2, 10.0, 10.0, 9.7, 10.4, 10.2, 8.9, 11.2, 10.1, 8.0,13.6,7.1,9.1,7.3,6.5,6.1,6.3,5.9,6.0,5.9,5.2,4.6
"    Wood, woodwaste        ", 92.5, 89.9, 87.4, 81.9, 80.9, 82.0, 83.6, 84.1, 84.1, 85.1, 85.4, 86.1, 87.6, 88.7, 90.6, 93.9, 97.9, 100.1, 101.6, 104.8, 108.2, 108.9, 109.1, 109.9, 109.0, 109.1, 108.2, 109.4, 95.0,105.3,103.2,100.4,98.9,98.7,98.7,94.5,93.3,90.0,88.7,90.1,92.9
    Bagasse                , 56.4, 59.7, 63.0, 68.2, 68.3, 59.9, 60.4, 68.5, 74.1, 71.9, 69.1, 72.9, 71.4, 73.4, 73.9, 80.7, 81.5, 78.2, 63.5, 78.0, 84.2, 91.4, 101.5, 109.5, 112.6, 109.6, 105.7, 98.5, 91.7,95.1,101.1,108.3,109.1,110.8,110.8,81.4,101.7,83.3,84.9,95.0,90.2
    Crude Oil and Other Refinery feedstock     ,1 230.1,1 231.9,1 233.7,1 289.8,1 331.1,1 320.4,1 312.8,1 261.7,1 276.1,1 235.6,1 260.9,1 267.5,1 247.2,1 233.4,1 321.6,1 345.7,1 386.3,1 421.4,1 440.0,1 494.8,1 518.1,1 562.3,1 623.5,1 648.0,1 671.5,1 675.8,1 672.8,1 702.0,1 674.8,1 629.5,1 531.0,1 543.7,1 409.2,1 505.7,1 464.6,1 480.7,1 439.3,1 510.3,1 486.6,1 443.1,1 336.7
    LPG                    , 20.4, 21.3, 23.7, 23.9, 23.5, 24.6, 28.0, 30.3, 32.0, 32.5, 39.0, 50.2, 56.5, 57.6, 65.8, 69.7, 78.5, 82.5, 88.5, 98.8, 107.7, 117.4, 116.2, 108.3, 113.6, 117.4, 118.5, 100.2, 102.2,100.2,101.9,96.7,110.4,104.2,101.5,101.6,97.9,97.3,99.5,96.8,94.4
    Auto gasoline-leaded   , 422.5, 439.2, 456.2, 478.2, 495.8, 510.6, 506.9, 509.2, 523.2, 515.4, 527.3, 533.8, 527.6, 497.9, 482.6, 461.7, 427.6, 383.4, 359.3, 337.0, 304.2, 267.2, 243.1, 215.8, 187.8, 162.0, 135.3, 102.7, 82.4,38.4,16.2,0.0,0.0,0.0,0.0,,,,,,
